episode,reward
1,29.0
2,33.0
3,32.0
4,33.0
5,24.0
6,43.0
7,48.0
8,15.0
9,30.0
10,20.0
11,18.0
12,35.0
13,41.0
14,21.0
15,20.0
16,22.0
17,42.0
18,27.0
19,39.0
20,62.0
21,27.0
22,43.0
23,26.0
24,46.0
25,30.0
26,45.0
27,22.0
28,53.0
29,58.0
30,37.0
31,61.0
32,64.0
33,32.0
34,35.0
35,39.0
36,61.0
37,55.0
38,52.0
39,47.0
40,50.0
41,53.0
42,58.0
43,60.0
44,52.0
45,64.0
46,38.0
47,57.0
48,50.0
49,44.0
50,55.0
51,50.0
52,39.0
53,87.0
54,67.0
55,51.0
56,57.0
57,55.0
58,60.0
59,56.0
60,50.0
61,63.0
62,66.0
63,63.0
64,62.0
65,62.0
66,50.0
67,57.0
68,63.0
69,59.0
70,61.0
71,71.0
72,60.0
73,74.0
74,63.0
75,59.0
76,49.0
77,66.0
78,69.0
79,64.0
80,71.0
81,60.0
82,64.0
83,78.0
84,74.0
85,78.0
86,80.0
87,58.0
88,56.0
89,71.0
90,52.0
91,68.0
92,68.0
93,70.0
94,54.0
95,72.0
96,73.0
97,71.0
98,63.0
99,69.0
100,67.0
101,67.0
102,70.0
103,78.0
104,76.0
105,63.0
106,78.0
107,69.0
108,59.0
109,71.0
110,68.0
111,68.0
112,92.0
113,75.0
114,63.0
115,62.0
116,65.0
117,64.0
118,67.0
119,78.0
120,68.0
121,70.0
122,61.0
123,66.0
124,60.0
125,76.0
126,66.0
127,61.0
128,66.0
129,62.0
130,87.0
131,66.0
132,67.0
133,88.0
134,58.0
135,66.0
136,68.0
137,80.0
138,73.0
139,62.0
140,73.0
141,66.0
142,80.0
143,76.0
144,68.0
145,80.0
146,68.0
147,72.0
148,65.0
149,77.0
150,58.0
151,66.0
152,75.0
153,72.0
154,70.0
155,76.0
156,76.0
157,54.0
158,68.0
159,71.0
160,70.0
161,71.0
162,68.0
163,69.0
164,80.0
165,68.0
166,80.0
167,74.0
168,92.0
169,64.0
170,88.0
171,76.0
172,64.0
173,66.0
174,92.0
175,74.0
176,66.0
177,76.0
178,80.0
179,71.0
180,80.0
181,65.0
182,88.0
183,80.0
184,74.0
185,68.0
186,82.0
187,57.0
188,62.0
189,64.0
190,66.0
191,59.0
192,63.0
193,68.0
194,87.0
195,76.0
196,80.0
197,66.0
198,60.0
199,78.0
200,92.0
201,92.0
202,73.0
203,61.0
204,80.0
205,66.0
206,63.0
207,88.0
208,68.0
209,61.0
210,80.0
211,78.0
212,80.0
213,66.0
214,66.0
215,74.0
216,70.0
217,80.0
218,59.0
219,88.0
220,74.0
221,71.0
222,75.0
223,80.0
224,78.0
225,88.0
226,80.0
227,64.0
228,70.0
229,74.0
230,68.0
231,68.0
232,56.0
233,78.0
234,87.0
235,87.0
236,68.0
237,70.0
238,66.0
239,87.0
240,70.0
241,71.0
242,78.0
243,78.0
244,73.0
245,92.0
246,78.0
247,80.0
248,62.0
249,68.0
250,64.0
251,69.0
252,68.0
253,66.0
254,80.0
255,74.0
256,73.0
257,78.0
258,68.0
259,70.0
260,80.0
261,80.0
262,78.0
263,51.0
264,92.0
265,57.0
266,66.0
267,75.0
268,68.0
269,92.0
270,76.0
271,73.0
272,64.0
273,72.0
274,68.0
275,88.0
276,82.0
277,68.0
278,76.0
279,76.0
280,78.0
281,76.0
282,72.0
283,75.0
284,80.0
285,83.0
286,76.0
287,78.0
288,80.0
289,87.0
290,92.0
291,66.0
292,72.0
293,64.0
294,64.0
295,64.0
296,75.0
297,78.0
298,76.0
299,75.0
300,64.0
301,76.0
302,63.0
303,92.0
304,82.0
305,66.0
306,78.0
307,92.0
308,80.0
309,80.0
310,92.0
311,64.0
312,64.0
313,59.0
314,75.0
315,80.0
316,80.0
317,61.0
318,70.0
319,79.0
320,76.0
321,76.0
322,59.0
323,88.0
324,80.0
325,69.0
326,76.0
327,59.0
328,75.0
329,59.0
330,66.0
331,68.0
332,78.0
333,64.0
334,88.0
335,87.0
336,68.0
337,80.0
338,92.0
339,80.0
340,87.0
341,78.0
342,58.0
343,69.0
344,58.0
345,92.0
346,76.0
347,68.0
348,71.0
349,68.0
350,78.0
351,72.0
352,92.0
353,76.0
354,80.0
355,75.0
356,80.0
357,63.0
358,64.0
359,80.0
360,76.0
361,68.0
362,92.0
363,70.0
364,76.0
365,76.0
366,87.0
367,88.0
368,80.0
369,74.0
370,73.0
371,70.0
372,78.0
373,73.0
374,66.0
375,63.0
376,68.0
377,61.0
378,88.0
379,70.0
380,78.0
381,74.0
382,68.0
383,76.0
384,74.0
385,70.0
386,80.0
387,49.0
388,80.0
389,62.0
390,92.0
391,64.0
392,87.0
393,92.0
394,82.0
395,74.0
396,88.0
397,64.0
398,68.0
399,92.0
400,78.0
401,92.0
402,64.0
403,80.0
404,57.0
405,76.0
406,61.0
407,77.0
408,75.0
409,75.0
410,87.0
411,70.0
412,68.0
413,92.0
414,68.0
415,80.0
416,78.0
417,80.0
418,61.0
419,74.0
420,62.0
421,76.0
422,73.0
423,80.0
424,92.0
425,92.0
426,73.0
427,74.0
428,80.0
429,71.0
430,70.0
431,70.0
432,73.0
433,66.0
434,80.0
435,68.0
436,75.0
437,75.0
438,73.0
439,87.0
440,65.0
441,76.0
442,67.0
443,70.0
444,66.0
445,76.0
446,92.0
447,80.0
448,70.0
449,57.0
450,73.0
451,78.0
452,64.0
453,68.0
454,92.0
455,80.0
456,64.0
457,80.0
458,68.0
459,87.0
460,82.0
461,92.0
462,78.0
463,77.0
464,61.0
465,92.0
466,82.0
467,66.0
468,63.0
469,76.0
470,67.0
471,73.0
472,88.0
473,80.0
474,64.0
475,78.0
476,68.0
477,74.0
478,82.0
479,68.0
480,71.0
481,68.0
482,88.0
483,63.0
484,88.0
485,92.0
486,71.0
487,80.0
488,68.0
489,92.0
490,66.0
491,78.0
492,80.0
493,80.0
494,80.0
495,92.0
496,73.0
497,57.0
498,75.0
499,70.0
500,92.0
